symbol	panels	version
ATP13A2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP1A1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP1A2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ATP1A3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ATP2A1	MMG,MYOC	MMG_v1,MYOC_v1
ATP2B1	RGDI+	RGDI+_v1
ATP5F1D	MITN,POLYM	MITN_v1,POLYM_v1
ATP5MD	MITN	MITN_v1
ATP6AP1	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ATP6AP2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP6V0A1	RGDI+	RGDI+_v1
ATP6V0A2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP6V0C	RGDI+	RGDI+_v1
ATP6V1A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP6V1B1	POLYM	POLYM_v1
ATP6V1B2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP7A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP7B	POLYM	POLYM_v1
ATP8A2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP8B1	POLYM	POLYM_v1
ATP9A	RGDI,RGDI+	RGDI+_v1,RGDI_v2
ATPAF2	MITN,POLYM	MITN_v1,POLYM_v1
ATR	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATRX	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATXN2L	RGDI+	RGDI+_v1
AUH	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AUTS2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
B3GALNT2	DYSM,MMG,POLYM,RGDI,RGDI+	DYSM_v1,MMG_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
B3GALT6	POLYM,RGDI+	POLYM_v1,RGDI+_v1
B3GAT3	POLYM	POLYM_v1
B3GLCT	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
B4GALNT1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
